Position,"Track Name",Artist,URL
1,"My Truck",Breland,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9
2,"This Is For Rachel For Acting Up","Visualz By Mariee",https://open.spotify.com/track/13TWGr9aDyr4AJgt1q6xVn
3,"death bed (feat. beabadoobee)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
4,Psycho!,MASE,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
5,"Make His Pockets Hurt","Lil Kayla",https://open.spotify.com/track/4MszwagGVhBYTJkXe0KOEp
6,"Boys Ain't Shit",SAYGRACE,https://open.spotify.com/track/6vzLbfskWigBsCzNdB0kfE
7,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,BLACKOUT,"Lil Kapow",https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI
9,"Let Her Go","The Kid LAROI",https://open.spotify.com/track/0c6SqvH32BMgbEFvpHc2gs
10,"Godzilla (feat. Juice WRLD)",Eminem,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
11,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
12,"Working Bitch",Ashnikko,https://open.spotify.com/track/7g7w2WUpLcqsqH2M9XR7ZF
13,"P*$$Y Fairy (OTW)","Jhené Aiko",https://open.spotify.com/track/48KXAIruJ07kJVCWOGohMV
14,"Welcome to Wonderland","Anson Seabra",https://open.spotify.com/track/3JfHYZKy5JmE5Fv4gDTCiz
15,"High Fashion (feat. Mustard)","Roddy Ricch",https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
16,"Life Is Good (feat. Drake)",Future,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
17,"Amor Tumbado","Natanael Cano",https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
18,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
19,"Back Then","H20 Hadd",https://open.spotify.com/track/3TpE9CtEdtzKS8vsGIPehC
20,"Any song",Zico,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
21,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
22,"You Broke My Heart Again",Teqkoi,https://open.spotify.com/track/3jZDWsoxRHzzp3DYV8qeXE
23,Opaul,"Freddie Dredd",https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0
24,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
25,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
26,"Nobody But You (Duet with Gwen Stefani)","Blake Shelton",https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR
27,"Texas Sun",Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw
28,Bussin,"Tay Money",https://open.spotify.com/track/2OBot5OpoT4deri6VkYCyW
29,"Jersey on the Wall - I'm Just Asking","Tenille Townes",https://open.spotify.com/track/1JqcuWreCl5cNVsX7TKGss
30,"if we never met (feat. Kelsea Ballerini)","John K",https://open.spotify.com/track/0x0yttxnfoqFUYL1UB3Ckh
31,"No One Like You",Alee,https://open.spotify.com/track/4yLToNshTGzYP9BGGmnLm3
32,"Quiero Ser","Los Primos del Este",https://open.spotify.com/track/0iEW2LlHNXVyZhwO96sL3z
33,"And It's Still Alright","Nathaniel Rateliff",https://open.spotify.com/track/15iPAASNam7qF7sgYpQQJF
34,"You should be sad",Halsey,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
35,"I Did It","Kris Yute",https://open.spotify.com/track/4PwYS8MvNbD3qOCGJXZ8L9
36,"Just the Way",Parmalee,https://open.spotify.com/track/5PAvFGse5jjDH9ke8Mae7D
37,"Welcome to Chilis","Yung Gravy",https://open.spotify.com/track/7BYppcUTuG5ysmaJlGSt3t
38,"Costa Rica","Bankrol Hayden",https://open.spotify.com/track/2iObjOsy2vpsariW4Y7hQg
39,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
40,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
41,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
42,"What A Man Gotta Do","Jonas Brothers",https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
43,"Break My Stride","Matthew Wilder",https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
44,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
45,"me & ur ghost",blackbear,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
46,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
47,"Don't Start Now","Dua Lipa",https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
48,"Something For Your M.I.N.D.",Superorganism,https://open.spotify.com/track/4rCKRVJZKVysScn2piDuOT
49,Suicidal,"YNW Melly",https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
50,"OUT WEST (feat. Young Thug)",JACKBOYS,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
