Position,"Track Name",Artist,URL
1,Vibe,"Cookiee Kawaii",https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5
2,"death bed (feat. beabadoobee)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
3,"Moral of the Story",Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
4,Skechers,DripReport,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
5,"4 Da Trap",645AR,https://open.spotify.com/track/5sF13EvLGv5qHFiMuGnMTF
6,"WHATS POPPIN","Jack Harlow",https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
7,"Walked In",Ultradiox,https://open.spotify.com/track/1tRlGMHsf21FDo6pja27YN
8,"Stuck Up","Music With Edgar",https://open.spotify.com/track/582UuerUL1zx7IyudPW9Mo
9,"My Truck",Breland,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9
10,"My Heart Went Oops",Tiagz,https://open.spotify.com/track/3Nhfs2Cx7z2JWHetYkzSfO
11,"She Gon Go","Trill Ryan",https://open.spotify.com/track/7FknBUKLWwjWszRK1N0jqe
12,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
13,"Blueberry Faygo","Lil Mosey",https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
14,"Intentions (feat. Quavo)","Justin Bieber",https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
15,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
16,Trust,"Brent Faiyaz",https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
17,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
18,"CITY OF ANGELS",24kGoldn,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
19,GENOCIDE,"Lil Darkie",https://open.spotify.com/track/68Y3zzmt2XxzheQVGbbJt4
20,"3 Vets","The Future Kingz",https://open.spotify.com/track/6t3sBdc5SbMlk5AyGvMei2
21,"People, I've been sad","Christine and the Queens",https://open.spotify.com/track/0KywIrJ4Xir4tS6q61aY1W
22,Psycho!,MASE,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
23,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
24,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
25,BLACKOUT,"Lil Kapow",https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI
26,"Get the Gat","Lil Elt",https://open.spotify.com/track/4gxh3vX2vDeiey5cDQvXDR
27,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
28,Slowly,ODIE,https://open.spotify.com/track/3GGhyTPYDufku46UtvLTPi
29,Bussin,"Tay Money",https://open.spotify.com/track/2OBot5OpoT4deri6VkYCyW
30,"About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”",MARINA,https://open.spotify.com/track/4XII12nbsvJblXfG1I2QR4
31,Apollo,Smoove'L,https://open.spotify.com/track/0VPmIETYsw3JBnyh4iDjVv
32,"Make His Pockets Hurt","Lil Kayla",https://open.spotify.com/track/4MszwagGVhBYTJkXe0KOEp
33,"Know Your Worth",Khalid,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
34,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
35,"Diva (feat. Lil Tecca)","The Kid LAROI",https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5
36,"Amor Tumbado","Natanael Cano",https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
37,"Boys Ain't Shit",SAYGRACE,https://open.spotify.com/track/6vzLbfskWigBsCzNdB0kfE
38,"LOYAL (feat. Drake and Bad Bunny) - Remix",PARTYNEXTDOOR,https://open.spotify.com/track/6RbH4isVKIOg1OY1HvRqFc
39,"circle the drain","Soccer Mommy",https://open.spotify.com/track/2drtd6SptpMJ1KylMQ7mrE
40,"Shake The Room (feat. Quavo)","Pop Smoke",https://open.spotify.com/track/7rSnKi58HPIVC0FVyh04Q1
41,Vete,"Bad Bunny",https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
42,Springtime,"Chris Renzema",https://open.spotify.com/track/3u3wIwedK7lT55qBqZ1M1s
43,"High Fashion (feat. Mustard)","Roddy Ricch",https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
44,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
45,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
46,Drugs,UPSAHL,https://open.spotify.com/track/06ioYJ99HHjzRk8HrGfkKS
47,"P*$$Y Fairy (OTW)","Jhené Aiko",https://open.spotify.com/track/48KXAIruJ07kJVCWOGohMV
48,"Broke In A Minute","Tory Lanez",https://open.spotify.com/track/2ZrAjMSmlbDIil0JaVgTHh
49,Yikes,"Nicki Minaj",https://open.spotify.com/track/75dLEqanQTupF3dtP9exT5
50,"Working Bitch",Ashnikko,https://open.spotify.com/track/7g7w2WUpLcqsqH2M9XR7ZF
